"","NU_INSCRICAO","NO_MUNICIPIO_RESIDENCIA","UF_RESIDENCIA","COD_ESCOLA","NO_MUNICIPIO_ESC","UF_ESC","ID_DEPENDENCIA_ADM_ESC","ID_LOCALIZACAO_ESC","IDADE","TP_SEXO","NO_MUNICIPIO_NASCIMENTO","UF_NASCIMENTO","ST_CONCLUSAO","ANO_CONCLUIU","TP_ESCOLA","TP_COR_RACA","IN_CERTIFICADO","NOTA_CN","NOTA_CH","NOTA_LC","NOTA_MT","NU_NOTA_REDACAO","Q003","Q004","Q022","Q023","Q024","Q025","Q026","Q027","Q028","Q029","Q035","Q040","Q048","Q054","media"
"6629491",6.91724824740096e-313,"BELO HORIZONTE","MG",31004278,"BELO HORIZONTE","MG",4,1,18,"M","BELO HORIZONTE","MG",2,NA,2,2,0,584.1,661.7,551.8,822.4,800,"G",4,"C",4,5,NA,0,0,4,3,"",NA,"","",684
"799872",6.91725501269126e-313,"NOVA LIMA","MG",31004278,"BELO HORIZONTE","MG",4,1,18,"M","BELO HORIZONTE","MG",2,NA,2,1,0,591.2,625.2,546.2,755.6,640,"Q",5,"C",5,5,NA,0,0,5,0,"",NA,"","",631.64
"228092",6.91726602788483e-313,"BELO HORIZONTE","MG",31004278,"BELO HORIZONTE","MG",4,1,17,"F","UBERLANDIA","MG",2,NA,2,1,NA,607.4,674.2,607.8,582.8,640,"M",2,"C",5,5,NA,5,1,2,2,"",NA,"","",622.44
"1735483",6.91727347552919e-313,"BELO HORIZONTE","MG",31004278,"BELO HORIZONTE","MG",4,1,17,"F","BELO HORIZONTE","MG",2,NA,2,1,NA,612,627.3,624.3,790.7,680,"O",4,"C",5,5,NA,5,4,4,0,"",NA,"","",666.86
"4177882",6.91728554337903e-313,"BELO HORIZONTE","MG",31004278,"BELO HORIZONTE","MG",4,1,18,"F","BELO HORIZONTE","MG",2,NA,2,1,1,524.8,568.7,531.4,444.7,620,"P",6,"C",5,5,NA,5,5,2,2,"C",NA,"","B",537.92
"487336",6.91728897955619e-313,"NOVA LIMA","MG",31004278,"BELO HORIZONTE","MG",4,1,18,"F","BELO HORIZONTE","MG",2,NA,2,1,1,580.2,577.7,581,684.7,760,"O",4,"C",3,3,NA,3,3,3,3,"C",NA,"","B",636.72
"7107311",6.91730001752619e-313,"BELO HORIZONTE","MG",31004278,"BELO HORIZONTE","MG",4,1,17,"F","BELO HORIZONTE","MG",2,NA,2,1,NA,680.3,670.4,636.3,815.1,780,"C",3,"C",5,3,NA,5,2,5,5,"",NA,"","",716.42
"7352911",6.91730123100082e-313,"BELO HORIZONTE","MG",31004278,"BELO HORIZONTE","MG",4,1,18,"F","BELO HORIZONTE","MG",2,NA,2,1,0,662.5,696.6,628.8,745.2,720,"P",3,"C",5,5,NA,5,2,2,0,"",NA,"","",690.62
"752548",6.91730208360991e-313,"BELO HORIZONTE","MG",31004278,"BELO HORIZONTE","MG",4,1,17,"F","ABAETE","MG",2,NA,2,1,NA,576.1,623.2,581.2,504.5,580,"Q",4,"C",0,0,NA,5,5,0,0,"",NA,"","",573
"8920471",6.91730897612211e-313,"BELO HORIZONTE","MG",31004278,"BELO HORIZONTE","MG",4,1,18,"M","BELO HORIZONTE","MG",2,NA,2,1,1,559.5,621.1,633,657.5,640,"Q",4,"C",4,5,NA,5,5,0,0,"C",NA,"","B",622.22
"8925331",6.9173090001337e-313,"BELO HORIZONTE","MG",31004278,"BELO HORIZONTE","MG",4,1,18,"F","BELO HORIZONTE","MG",2,NA,2,1,NA,657.2,733.2,654.1,771.8,920,"Q",5,"C",5,5,NA,5,5,0,0,"",NA,"","",747.26
"5683410",6.91731711807692e-313,"BELO HORIZONTE","MG",31004278,"BELO HORIZONTE","MG",4,1,18,"F","BELO HORIZONTE","MG",2,NA,2,3,NA,617.2,607.6,615.3,682.4,800,"P",4,"C",2,0,NA,5,5,0,5,"",NA,"","",664.5
"6766610",6.91731765329823e-313,"BELO HORIZONTE","MG",31004278,"BELO HORIZONTE","MG",4,1,17,"M","BELO HORIZONTE","MG",2,NA,2,1,NA,550,658.6,601.5,593.2,600,"Q",4,"C",5,5,NA,5,0,2,2,"",NA,"","",600.66
"5919542",6.91734355785173e-313,"BELO HORIZONTE","MG",31004278,"BELO HORIZONTE","MG",4,1,18,"M","BELO HORIZONTE","MG",2,NA,2,1,0,668.5,694.3,636.4,826.7,860,"O",3,"C",1,4,NA,5,3,5,2,"",NA,"","",737.18
